segment_id,avg_gradient,std_gradient,classification,true_role,true_source_sink
S4,0.19989859016837624,0.029122352057855704,neutral,neutral,0.0
S5,0.11034603647774802,0.05487674479690584,neutral,neutral,0.0
S7,-0.09080474559436007,0.02505261441544986,neutral,neutral,0.0
S8,-4.350520677319867,0.0909227944384224,sink,sink,-4.5
S9,0.32066446116861314,0.07289298737954139,neutral,neutral,0.0
S11,-1.3776365291996218,0.06635810055072125,sink,neutral,0.0
S13,1.731660593361009,0.03596665884018726,source,neutral,0.0
S14,-0.025366467928401987,0.021139966453943358,neutral,neutral,0.0
S15,-0.0891452925782266,0.011410944956131482,neutral,neutral,0.0
